cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
baseline_sample,Q0142,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0075,0.33670221414768947,ok,2.9967285523552984,ok,1
baseline_sample,Q0064,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0155,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0096,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0092,0.28693428146311645,ok,2.677333617341387,ok,1
baseline_sample,Q0089,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0078,0.12841717347744108,ok,1.4787885985419031,ok,3
baseline_sample,Q0177,,no_data,15619999999.999998,alert,0
baseline_sample,Q0074,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0147,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0172,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0130,0.33670221414768947,ok,2.9967285523552984,ok,1
baseline_sample,Q0072,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0136,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0115,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0065,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0178,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0167,,no_data,15619999999.999998,alert,0
baseline_sample,Q0088,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0090,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0125,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0138,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0163,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0132,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0086,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0152,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0144,,no_data,14050000000.0,alert,0
baseline_sample,Q0150,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0168,0.33670221414768947,ok,2.9967285523552984,ok,1
baseline_sample,Q0114,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0174,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0118,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0166,0.154297715539573,ok,1.7498342381368182,ok,2
baseline_sample,Q0176,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0061,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0081,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0165,0.28693428146311645,ok,2.677333617341387,ok,1
baseline_sample,Q0104,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0146,,no_data,15630000000.0,alert,0
baseline_sample,Q0080,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0161,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0180,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0171,0.0012031634984035911,ok,4.149378805520365,ok,6
baseline_sample,Q0162,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0109,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0073,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0106,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0105,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0094,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0066,0.14003293108964593,ok,15660000000.0,alert,3
baseline_sample,Q0119,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0076,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0135,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0071,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0098,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0107,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0097,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0134,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0133,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0164,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0063,,no_data,15580000000.0,alert,0
baseline_sample,Q0103,0.0012031634984035911,ok,4.149378805520365,ok,6
baseline_sample,Q0179,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0110,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0079,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0151,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0117,,no_data,3.5348305134899736,ok,0
baseline_sample,Q0067,,no_data,3.5348305134899736,ok,0
